foxnews.com,199066,179246,181935,372435,360193,184578,241589,261703,235410,178477,246034,2085418,272299,206792,254828,49791,315541,165608,190987,236022,192618,318886,386904,
mundodastribos.com,371924,387672,348331,302134,326581,366266,361131,382241,383295,453491,372451,316287,368505,381272,116528,50462,415079,315225,313082,363626,354661,395754,284705,
foodnetwork.com,337704,352794,274922,350470,266628,385821,376381,236390,331559,327388,204346,600400,1276592,242419,334858,47766,384502,328057,202266,367062,339673,340813,370545,
56.com,3734521,2872095,3266281,2868643,3839263,2299231,3025180,2194725,2377233,2875507,3401238,2601076,3480918,2436891,3467396,49337,5353172,4733282,2693550,2780366,2925931,3428598,3247943,
wizard101.com,727688,946004,990714,934390,577290,828557,811141,1008710,1023919,853405,943314,1108369,1077473,1002154,42336,46752,597846,853257,708687,680836,1078576,928907,929833,
mthai.com,20071596,5109361,13733175,15686292,4673002,15139920,12329014,12255597,14122657,10203131,3188437,4611960,13255138,3973137,39987,32366,12176248,4921453,15383449,10687865,16904866,4973099,10883556,
ustream.tv,560525,614769,811810,561618,636905,593372,573635,628150,635440,558843,564143,582623,641235,562653,131507,132119,614739,568917,559655,599433,630428,594081,606932,
indiatimes.com,1864852,1789284,1853285,1741717,1956411,1784875,1968515,596371,803196,1656184,754996,1685551,1659733,604319,40307,38793,1693232,1656012,1941092,747262,1887349,2025591,725915,
macys.com,596116,42414841,626231,454346,69796626,503560,581720,100926631,805347,457275,518133,915266,666674,595191,1117934,65006,552830,391030,425462,677996,692077,873009,754995,
a67.com,3329667,3097158,3744668,3570058,2987158,5271838,2905756,5265351,4298629,4186608,3535708,4474686,2881620,3721604,47351,42418,4520637,3579526,1489967,5941244,4322560,3270497,4386051,
726.com,1392905,1325171,1272736,1368293,1446347,1346510,4116803,4399925,1361647,4127480,1308281,1354488,1345109,1345578,1359266,91186,1507553,4414859,1426658,1304036,1133385,1407383,1378326,
9223.com,8867516,8609696,9053234,8569543,7163444,8167083,7231103,7203806,6281050,6457730,8271543,7802741,6362706,7162677,6847455,68173,6262480,6930188,5800786,7114588,9666424,7146661,9015508,
allegro.pl,725219,877036,969904,875719,1049326,2697810,835426,1389259,2508092,2675734,2187017,1106906,942761,848392,846554,56954,25365637,1142315,925706,903195,1050375,881967,991833,
livingsocial.com,620109,582360,520555,500467,421329,717409,595810,572813,423573,444825,496794,569959,496716,663986,496812,53693,527155,615380,487623,639718,456830,509957,549227,
azlyrics.com,609669,529719,536041,578061,550774,557381,533995,558899,548063,558512,541025,536557,543898,545956,41276,32186,3536436,527062,538807,566127,566332,591534,554176,
citysearch.com,622880,418391,428166,1216119,476325,431116,365003,461289,751314,924133,540543,575841,472816,533123,42809,55150,432253,769230,423548,389720,380171,439072,401559,
gumtree.com,905262,880344,1000142,1929000,1175992,1050512,1238372,1183298,780739,1073516,886970,862624,1071407,863764,43729,33534,1913179,1766993,761619,804077,1051051,847757,916279,
battle.net,884963,758158,573547,640098,4689161,4236181,562079,592793,558127,578945,2610748,559248,611184,674170,40467,43976,775468,921043,642331,541422,610412,679251,1901557,
my4399.com,3132260,2483163,2306958,2364355,6947946,2479859,2437148,2458019,2500709,2698534,3035378,2517242,2509526,2480297,74257,57307,2442265,2457044,2357797,2664624,2909823,3021023,2777474,
wikimedia.org,460519,375016,507368,481229,492261,403615,459489,450529,448678,488155,426291,466823,372350,468128,513710,49276,449186,456518,465153,618674,481019,452717,419937,
laredoute.fr,1256977,1305048,1149229,1316724,1287323,1249087,1230944,1596930,1299485,1353788,1407928,1308544,1282664,1326846,57248,57975,1277660,1280932,1409332,1192836,1306870,1252691,4848134,
att.com,277616,182030,171800,232051,243007,244895,236794,275494,192854,243107,188039,171453,288925,255774,180533,44342,175616,172165,232662,400473,225323,268902,182996,
grooveshark.com,1687748,1186525,1229418,1691387,1087033,1593835,1009174,1055502,1041308,1786842,1087725,1984709,1122474,733775,43828,44688,1274019,1052328,1260676,1121046,1026702,1414017,1847238,
udn.com,16245667,19314366,16588036,16452780,18665445,23615978,13615574,14996968,14240235,14864759,15100386,16755702,13671723,14918489,48467,41992,15157008,15774050,17310957,12528298,16502324,15856326,18265784,
firstload.com,1331615,1407000,1301642,1387502,1395857,2526619,1490326,1302333,1445446,1370706,1425702,1348485,1383429,1471269,109265,40785,1366118,1380112,1335935,1301700,1392429,1358663,1388913,
yfrog.com,1426646,1435423,1457661,1411511,1339961,5750603,1469518,1565006,1431313,1452486,1842963,1514995,3368112,1435472,1663058,50746,1423803,1334117,1396975,1549783,1422253,1728478,2645819,
odnoklassniki.ru,1125408,1152158,1135897,1271502,1360070,1193082,1231282,1551859,1446062,1664340,1360983,1134274,1159407,1460855,1279848,44333,7975916,1343676,1190757,1315697,1152174,1401114,1247928,
twitter.com,924634,768077,812848,772049,745347,730544,959298,859270,615396,757739,814814,879120,827094,730568,869343,49877,697341,742837,802840,853632,766177,781471,711194,
kohls.com,305555,199562,293462,514704,357412,455936,273536,770112,281978,289607,411917,189120,431126,422102,43621,44532,163265,303270,389784,333292,312356,306644,280176,
pogo.com,1119019,600999,646368,602069,868451,1705000,1221874,1144861,1265029,3725039,747028,880084,1855694,799896,2176042,40591,934382,781297,696430,705565,739078,713869,977167,
china.com.cn,25760683,3984615,2276771,8625981,31734360,4772239,3920995,5151412,20531656,4878107,3394505,4638408,1599990,4911563,56280,47194,6440100,2168896,29488068,77317141,7618978,4762162,9291148,
